,Strategy,Date,Transaction,Symbol,Qty,Option,Strike,ExpiryDt,EnTime,BPrice,ExTime,SPrice
77,CE_PE_EMA10_EMA30_2022,2022-03-04,Buy,NIFTY,50,CE,16300,2022-03-10,12:32:50,239.0,14:45:00,225.8
78,CE_PE_EMA10_EMA30_2022,2022-03-04,Buy,NIFTY,50,PE,16300,2022-03-10,14:45:00,260.5,15:15:00,272.15
79,CE_PE_EMA10_EMA30_2022,2022-03-07,Buy,NIFTY,50,CE,15900,2022-03-10,11:39:00,236.8,13:25:25,200.25
80,CE_PE_EMA10_EMA30_2022,2022-03-07,Buy,NIFTY,50,PE,15900,2022-03-10,13:25:25,258.9,15:15:00,238.95
81,CE_PE_EMA10_EMA30_2022,2022-03-08,Buy,NIFTY,50,PE,15800,2022-03-10,11:19:45,217.75,13:55:10,174.95
82,CE_PE_EMA10_EMA30_2022,2022-03-08,Buy,NIFTY,50,CE,15900,2022-03-10,13:55:10,162.1,15:15:00,247.45
83,CE_PE_EMA10_EMA30_2022,2022-03-09,Buy,NIFTY,50,CE,16200,2022-03-10,12:00:00,122.8,15:15:00,221.9
84,CE_PE_EMA10_EMA30_2022,2022-03-10,Buy,NIFTY,50,PE,16700,2022-03-10,12:15:30,59.9,15:15:00,91.5
85,CE_PE_EMA10_EMA30_2022,2022-03-11,Buy,NIFTY,50,CE,16700,2022-03-17,11:38:05,209.5,13:40:25,175.35
86,CE_PE_EMA10_EMA30_2022,2022-03-11,Buy,NIFTY,50,PE,16600,2022-03-17,13:40:25,249.15,15:04:45,198.95
87,CE_PE_EMA10_EMA30_2022,2022-03-11,Buy,NIFTY,50,CE,16700,2022-03-17,15:04:45,199.5,15:15:00,190.7
88,CE_PE_EMA10_EMA30_2022,2022-03-15,Buy,NIFTY,50,PE,16800,2022-03-17,11:35:45,175.5,15:15:00,250.2
89,CE_PE_EMA10_EMA30_2022,2022-03-16,Buy,NIFTY,50,CE,16900,2022-03-17,09:25:50,129.25,15:15:00,180.45
90,CE_PE_EMA10_EMA30_2022,2022-03-21,Buy,NIFTY,50,PE,17200,2022-03-24,12:31:30,171.55,15:15:00,211.7
91,CE_PE_EMA10_EMA30_2022,2022-03-22,Buy,NIFTY,50,CE,17100,2022-03-24,11:43:45,152.2,15:15:00,301.15
92,CE_PE_EMA10_EMA30_2022,2022-03-23,Buy,NIFTY,50,PE,17300,2022-03-24,10:40:30,98.0,15:15:00,111.95
93,CE_PE_EMA10_EMA30_2022,2022-03-24,Buy,NIFTY,50,PE,17200,2022-03-24,12:22:20,69.05,14:11:05,19.1
94,CE_PE_EMA10_EMA30_2022,2022-03-24,Buy,NIFTY,50,CE,17300,2022-03-24,14:11:05,8.05,15:15:00,0.15
95,CE_PE_EMA10_EMA30_2022,2022-03-25,Buy,NIFTY,50,PE,17200,2022-03-31,09:25:25,196.9,15:15:55,197.0
96,CE_PE_EMA10_EMA30_2022,2022-03-25,Buy,NIFTY,50,CE,17200,2022-03-31,15:15:55,164.75,15:15:00,164.2
97,CE_PE_EMA10_EMA30_2022,2022-03-28,Buy,NIFTY,50,PE,17100,2022-03-31,10:11:30,176.55,12:30:25,140.5
98,CE_PE_EMA10_EMA30_2022,2022-03-28,Buy,NIFTY,50,CE,17100,2022-03-31,12:30:25,166.45,15:15:00,236.35
99,CE_PE_EMA10_EMA30_2022,2022-03-29,Buy,NIFTY,50,PE,17300,2022-03-31,11:40:30,109.9,12:51:30,86.2
100,CE_PE_EMA10_EMA30_2022,2022-03-29,Buy,NIFTY,50,CE,17300,2022-03-31,12:51:30,124.35,15:15:00,127.8
101,CE_PE_EMA10_EMA30_2022,2022-03-30,Buy,NIFTY,50,PE,17500,2022-03-31,12:45:35,71.6,15:15:00,56.85
102,CE_PE_EMA10_EMA30_2022,2022-03-31,Buy,NIFTY,50,CE,17500,2022-03-31,13:08:35,45.15,14:00:35,18.5
103,CE_PE_EMA10_EMA30_2022,2022-03-31,Buy,NIFTY,50,PE,17500,2022-03-31,14:00:35,37.95,15:15:00,29.15
104,CE_PE_EMA10_EMA30_2022,2022-04-01,Buy,NIFTY,50,CE,17500,2022-04-07,09:45:15,160.0,12:20:05,170.95
105,CE_PE_EMA10_EMA30_2022,2022-04-01,Buy,NIFTY,50,PE,17600,2022-04-07,12:20:05,187.75,12:56:05,170.55
